created_at,id,updated_at,name,poster_url,quote
NULL,38,NULL,오제이티,http://imgnews.naver.net/image/5308/2017/02/12/0000033484_002_20170420120356291.jpg,"
"
NULL,39,NULL,도가니,http://imgnews.naver.net/image/5039/2011/09/26/2011092620395790.jpg,"
"
NULL,40,NULL,"나쁜 영화",http://imgnews.naver.net/image/5689/2019/08/13/0000013222_003_20190813174534389.jpg,"
"
NULL,41,NULL,"소문난 여자",https://i.namu.wiki/i/1UotMTobda_vnE5qQtgd4i7l448r1nlLvtWe9bpbQ2ytB7wfNcNRk5MA4FyQ2NqL53Ut3mnvjJstskBgAih3ww.webp,"
"
NULL,42,NULL,아이스케키,https://i.namu.wiki/i/p0pREwopwIz7Nr3TU4scZiNhn2Z8gGvXJfv6fkNDDn0wkov0DqmHQQZGvVWwuZJnwPgy9O_qUgnOmwf1qYR1lw.webp,"
"
NULL,43,NULL,어미,http://imgnews.naver.net/image/5533/2019/08/28/0000067670_001_20190828174713562.jpg,"
"
NULL,44,NULL,밀애,http://imgnews.naver.net/image/5129/2014/07/30/30739251_59_20140730094502.jpg,"
"
NULL,45,NULL,"벙어리 삼룡",https://i.namu.wiki/i/jGpecCLzRW3mswnxwzbF2izFAY3lQ6Ntw-K5vWYqbvuaXUSAxsZUN1yA9ZCW9ZZGLdROnXXPDYKHW28uP9kHRA.webp,"
"
NULL,46,NULL,각설탕,http://shop1.phinf.naver.net/20221024_297/16665917135981xTvl_JPEG/67727556293844140_1693935731.jpg,"
"
NULL,47,NULL,"약속은 없었지만",https://image.aladin.co.kr/scm/editor/2024/0528/scm4743779261755.jpg,"
"
NULL,48,NULL,걸프렌즈,https://i.namu.wiki/i/Cl-_JmH9382HKgZIK9c1kZkkkkPZ8OX70fHYjRl3HOa7pXdRVaZhnjkJITRVKA9onGfrUdm7gZwlXbPZNZUvkg.webp,"
"
NULL,49,NULL,학생부군신위,http://shop1.phinf.naver.net/20220918_178/1663481544184DIiVB_JPEG/70946254300515698_2006444486.jpg,"
"
NULL,50,NULL,감기,http://imgnews.naver.net/image/213/2013/07/09/20130709_1373355442_26080400_1_59_20130709171933.jpg,"
"
NULL,51,NULL,"미쓰 촌닭",http://imgnews.naver.net/image/5353/2015/07/27/540__1437980120-24-org_99_20150727155602.jpg,"
"
NULL,52,NULL,괴짜만세,https://img.lovepik.com/original_origin_pic/18/09/14/2504d5758d694b23e8f4a6bf8c5de967.png_wh860.png,"
"
NULL,53,NULL,불량남녀,http://imgnews.naver.net/image/5092/2010/10/24/1287892450_600.jpg,"
"
